Datetime,PSAR_Indicator,PSAR_Val,SMBA_Indicator,SMBA_period1,SMBA_period2,OLS_Indicator,OLS_Val
2013-07-18 10:45:00,-1,0.972036985844813,-1,0.9548282542060849,0.9576461966088905,-1,-0.0015490304815975182
2013-07-18 11:15:00,-1,0.9713907178627404,-1,0.953574853995256,0.9567136229468662,-1,-0.002070304739952672
2013-07-18 11:45:00,-1,0.9707573752403093,-1,0.9520653238439735,0.955631680444621,-1,-0.0022519725941060158
2013-07-18 12:15:00,-1,0.9701366994703267,-1,0.950213417160177,0.9542870046627636,-1,-0.002284638908847753
2013-07-18 12:45:00,-1,0.9689115461233045,-1,0.9486077271519571,0.9529724464764586,-1,-0.0023288617028613323
2013-07-18 13:15:00,-1,0.9670541338547446,-1,0.9474243095629464,0.9516431496993045,-1,-0.0023561349939428783
2013-07-18 13:45:00,-1,0.9653081663222982,-1,0.9468781681336836,0.9506156764921487,-1,-0.0022274728580497223
2013-07-18 14:15:00,-1,0.9636669568417986,-1,0.9460047610905317,0.9494869082151804,-1,-0.0019710731046051594
2013-07-18 14:45:00,-1,0.962124219930129,-1,0.9451186009542982,0.9484356375454716,-1,-0.001547181444914043
2013-07-18 15:15:00,-1,0.9606740472331595,-1,0.9454083526486776,0.9481180849776496,-1,-0.0009280623287239751
2013-07-19 09:45:00,1,0.9379546749806386,-1,0.9499728010274081,0.9500601691497461,1,2.4653822446283173e-06
2013-07-19 10:15:00,1,0.9385992491685048,1,0.9527667300131016,0.9513671636381308,1,0.0005416136618735681
2013-07-19 10:45:00,1,0.9392309318726136,1,0.955899942261909,0.9530102919701969,1,0.0010453220717355379
2013-07-19 11:15:00,1,0.9404724815078095,1,0.9577605644967455,0.9541406898068683,1,0.0015527285549644997
2013-07-19 11:45:00,1,0.9416643691575975,1,0.9589230448416786,0.9550662872604351,1,0.0020111355660808517
2013-07-19 12:15:00,1,0.9428085813013941,1,0.9638559513760112,0.9580730073589399,1,0.002764155755434002
2013-07-19 12:45:00,1,0.9454166364418681,1,0.9672539396813467,0.9605595001644102,1,0.0032969864930610087
2013-07-19 13:15:00,1,0.9487440749820185,1,0.9697678951945687,0.9626670178855631,1,0.003584049438173532
2013-07-19 13:45:00,1,0.9518053184389569,1,0.9714359268480132,0.964353142040734,1,0.0036028479777890647
2013-07-19 14:15:00,1,0.9546216624193401,1,0.9728924853800393,0.965969971658885,1,0.003488515876192995
2013-07-19 14:45:00,1,0.9572126988812927,1,0.9743035861197846,0.9676903548049297,1,0.0032768011759328757
2013-07-19 15:15:00,1,0.9595964524262891,1,0.9754367472999622,0.9692069634082483,1,0.002964005803641727
2013-07-22 09:45:00,1,0.9617895056876858,1,0.9811115154589143,0.9730611023381485,1,0.003116705416420301
2013-07-22 10:15:00,1,0.9663953812805903,1,0.9871031779478108,0.9771871094938976,1,0.0031992957216163843
2013-07-22 10:45:00,1,0.9723068187121222,1,0.9912910108374438,0.9804926787726701,1,0.0030715581040649522
2013-07-22 11:15:00,1,0.9775088836518703,1,0.9945312664160545,0.9834721050858893,1,0.003384045303575501
